ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,120,180,10,222111121,0,1,3
2,공격형,None,125,180,10,121222121,0,2,8
3,밸런스형,None,200,100,10,222111222,0,3,7
4,밸런스형,None,140,150,10,212212121,0,4,4
5,밸런스형,None,175,140,10,212122112,0,5,9
6,공격형,None,120,130,20,112112211,1,1,0
7,공격형,None,100,150,20,12111212,1,2,0
8,공격형,None,50,250,20,111122112,1,3,0
9,방어형,None,220,60,20,222111222,1,4,0
10,밸런스형,None,180,120,20,211121221,1,5,0
11,밸런스형,None,160,160,20,222211111,1,6,0
12,밸런스형,None,150,140,20,222112112,1,7,0
