ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,150,100,10,221111221,0,1,5
2,방어형,None,250,50,10,222111222,0,2,1
3,방어형,None,200,50,10,222212222,0,3,7
4,밸런스형,None,180,80,10,212121212,0,4,3
5,밸런스형,None,150,100,10,222111222,0,5,9
6,공격형,None,140,150,20,211122211,1,1,0
7,공격형,None,100,180,20,111121212,1,2,0
8,방어형,None,250,80,20,211211221,1,3,0
9,방어형,None,240,80,20,211212112,1,4,0
10,밸런스형,None,140,120,20,111121222,1,5,0
11,밸런스형,None,180,105,20,211221121,1,6,0
12,밸런스형,None,200,90,20,222112112,1,7,0
