ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,150,150,10,221111221,0,1,2
2,공격형,철갑탄,180,120,10,112122112,0,2,4
3,공격형,보호막,140,200,10,112221112,0,3,6
4,공격형,암살,180,200,10,111111111,0,4,9
5,공격형,None,150,150,10,121222121,0,5,7
6,공격형,None,150,120,20,222111111,1,1,0
7,공격형,None,150,120,20,111111222,1,2,0
8,방어형,None,240,80,20,212121212,1,3,0
9,방어형,None,200,40,20,212212121,1,4,0
10,방어형,None,220,60,20,222121121,1,5,0
11,밸런스형,None,180,100,20,212212121,1,6,0
12,밸런스형,None,200,90,20,111121212,1,7,0
