ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,75,150,10,112112112,0,1,6
2,공격형,None,75,150,10,121121121,0,2,5
3,방어형,None,160,50,10,212212212,0,3,1
4,방어형,None,140,60,10,122122121,0,4,7
5,밸런스형,None,100,100,10,221121211,0,5,4
6,공격형,None,150,100,20,111222111,1,1,0
7,공격형,None,150,100,20,122122111,1,2,0
8,공격형,None,200,150,20,111122222,1,3,0
9,방어형,None,250,75,20,221111222,1,4,0
10,방어형,None,250,50,20,121212121,1,5,0
11,밸런스형,None,200,75,20,112112122,1,6,0
12,밸런스형,None,225,50,20,212111222,1,7,0
