ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,처형인,666,66,20,222222222,0,4,5
2,공격형,None,150,120,10,121222111,0,1,1
3,방어형,무장해제,250,60,10,121212121,0,2,3
4,밸런스형,None,180,120,10,222111212,0,3,7
5,밸런스형,생존자,160,120,10,212121212,0,5,9
6,공격형,None,150,150,20,222121111,1,1,0
7,공격형,None,120,200,20,111222111,1,2,0
8,공격형,None,100,250,20,111121111,1,3,0
9,방어형,None,250,60,20,222121222,1,4,0
10,밸런스형,None,200,120,20,221121122,1,5,0
11,밸런스형,None,220,150,20,211211222,1,6,0
12,밸런스형,None,200,120,20,122121221,1,7,0
