ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,방어형,,250,60,10,222112222,0,5,1
2,방어형,,240,80,10,221221221,0,4,4
3,방어형,,240,80,10,212212212,0,3,7
4,밸런스형,,180,120,10,212121212,0,1,5
5,밸런스형,,150,150,10,221121122,0,2,6
6,공격형,,120,180,20,111111222,1,1,0
7,공격형,,120,180,20,211211121,1,2,0
8,공격형,,70,200,20,111211111,1,3,0
9,공격형,,130,150,20,211112112,1,4,0
10,밸런스형,,180,100,20,211211211,1,5,0
11,밸런스형,,150,120,20,122122122,1,6,0
12,밸런스형,,200,100,20,111221221,1,7,0
