ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,150,200,10,211122211,0,1,9
2,방어형,격려,300,40,10,222221111,0,2,1
3,방어형,격려,300,40,10,111122222,0,3,7
4,밸런스형,None,180,150,10,122221111,0,4,2
5,밸런스형,None,180,150,10,111221122,0,5,3
6,공격형,None,150,140,20,221221111,1,1,0
7,공격형,None,130,150,20,112121212,1,2,0
8,방어형,None,240,60,20,222211211,1,3,0
9,밸런스형,None,180,120,20,121121121,1,4,0
10,밸런스형,None,200,100,20,111222121,1,5,0
11,밸런스형,None,200,100,20,112111222,1,6,0
12,밸런스형,None,170,140,20,211211211,1,7,0
