ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,밸런스형,모아니면도,400,120,10,212222212,0,1,5
2,공격형,,180,150,10,121121121,0,2,3
3,공격형,,180,160,10,111222111,0,3,9
4,방어형,,250,80,10,212212212,0,4,4
5,밸런스형,,180,100,10,222111212,0,5,8
6,공격형,,150,150,20,111222111,1,1,0
7,공격형,,150,100,20,121222121,1,2,0
8,공격형,,200,120,20,112112112,1,3,0
9,공격형,,120,120,20,221111122,1,4,0
10,방어형,무장해제,250,50,20,112222112,1,5,0
11,밸런스형,,160,100,20,121221121,1,6,0
12,밸런스형,,180,80,20,111222121,1,7,0
