ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,방어형,None,250,40,10,222222222,0,1,1
2,방어형,None,180,100,10,222212222,0,2,7
3,방어형,인내심,230,60,10,212222222,0,3,4
4,방어형,격려,200,100,10,222222111,0,4,5
5,방어형,방벽,200,100,10,111222222,0,5,6
6,공격형,None,140,150,20,111222111,1,1,0
7,공격형,None,160,120,20,212111211,1,2,0
8,공격형,None,150,150,20,111222111,1,3,0
9,방어형,None,220,90,20,222122211,1,4,0
10,밸런스형,None,180,130,20,211211222,1,5,0
11,밸런스형,None,200,100,20,111212222,1,6,0
12,밸런스형,None,180,150,20,212121212,1,7,0
