ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,22,222,22,222222222,0,1,6
2,공격형,None,122,122,12,122122122,0,2,2
3,공격형,None,120,150,10,211221211,0,3,8
4,밸런스형,None,160,120,10,122111122,0,4,1
5,밸런스형,None,180,80,10,221122221,0,5,9
6,공격형,None,150,120,20,211121212,1,1,0
7,방어형,None,280,20,20,222222221,1,2,0
8,방어형,None,220,100,20,211121111,1,3,0
9,방어형,None,250,60,20,212122112,1,4,0
10,밸런스형,None,140,120,20,212111212,1,5,0
11,밸런스형,None,180,80,20,211221221,1,6,0
12,밸런스형,None,150,80,20,112121221,1,7,0
