ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,,75,150,10,121221121,0,1,3
2,방어형,,75,150,10,211112211,0,2,5
3,방어형,,160,50,10,212212212,0,3,1
4,밸런스형,,120,80,10,221221122,0,4,6
5,밸런스형,,100,100,10,221121211,0,5,9
6,공격형,,150,100,20,111222111,1,1,0
7,공격형,,120,120,20,211211211,1,2,0
8,공격형,,120,100,20,112212112,1,3,0
9,방어형,,250,75,20,112211212,1,4,0
10,방어형,,250,50,20,121212121,1,5,0
11,밸런스형,,200,75,20,111222111,1,6,0
12,밸런스형,,225,50,20,211211211,1,7,0
