ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,,110,180,10,121121121,0,1,2
2,방어형,,250,60,10,212222121,0,2,5
3,방어형,격려,250,90,10,212121212,0,3,7
4,밸런스형,생존자,250,150,10,222111222,0,4,9
5,밸런스형,,180,120,10,111222121,0,5,8
6,공격형,,120,180,20,121121121,1,1,0
7,공격형,,100,200,20,111111222,1,2,0
8,공격형,,150,120,20,111212212,1,3,0
9,방어형,,240,80,20,222112121,1,4,0
10,방어형,,250,100,20,111111222,1,5,0
11,밸런스형,,175,100,20,122122111,1,6,0
12,밸런스형,,190,120,20,221221111,1,7,0
