ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,200,200,10,212111121,0,5,3
2,공격형,None,180,240,10,111212111,0,4,9
3,방어형,None,444,44,10,222222222,0,3,4
4,밸런스형,None,240,160,10,121212121,0,2,5
5,밸런스형,None,260,140,10,112222112,0,1,6
6,공격형,None,150,200,20,112211112,1,1,0
7,공격형,None,140,200,20,111222111,1,2,0
8,공격형,None,160,180,20,212111212,1,3,0
9,방어형,None,260,100,20,222121222,1,4,0
10,방어형,None,240,120,20,212222212,1,5,0
11,밸런스형,None,180,150,20,111122122,1,6,0
12,밸런스형,None,200,125,20,122122111,1,7,0
