ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,100,240,10,211211211,1,1,3
2,방어형,None,180,100,10,222212111,1,2,1
3,밸런스형,None,120,120,10,212211212,1,3,4
4,밸런스형,None,140,100,10,211222211,1,4,5
5,밸런스형,None,160,90,10,222111222,1,5,7
6,공격형,None,150,80,20,222111111,0,1,0
7,공격형,None,150,90,20,111211212,0,2,0
8,공격형,None,200,150,20,111122222,0,3,0
9,공격형,None,80,120,20,211111112,0,4,0
10,방어형,None,250,50,20,121212121,0,5,0
11,방어형,None,200,75,20,112112122,0,6,0
12,밸런스형,None,180,60,20,211211211,0,7,0
