ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,180,200,10,211121112,0,1,8
2,공격형,None,200,150,10,112121211,0,2,3
3,방어형,None,220,80,10,222121121,0,3,1
4,방어형,None,240,60,10,222111222,0,4,6
5,방어형,None,240,60,10,121222121,0,5,7
6,공격형,None,150,120,20,111222111,1,1,0
7,공격형,None,120,140,20,211121112,1,2,0
8,공격형,None,180,140,20,221112111,1,3,0
9,공격형,None,175,140,20,121222121,1,4,0
10,방어형,None,220,80,20,212212212,1,5,0
11,방어형,None,220,80,20,121222121,1,6,0
12,밸런스형,None,180,100,20,112212121,1,7,0
