ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,150,120,10,112122111,0,3,8
2,공격형,None,140,160,10,211211122,0,4,5
3,방어형,겁쟁이,600,200,10,212121212,0,5,6
4,방어형,가시갑옷,260,40,20,222111222,0,1,1
5,밸런스형,None,160,100,10,211221121,0,2,7
6,공격형,None,130,180,20,111222111,1,1,0
7,공격형,None,140,170,20,212121111,1,2,0
8,공격형,None,150,160,20,112112112,1,3,0
9,공격형,None,160,160,20,211121221,1,4,0
10,방어형,None,220,60,20,222212212,1,5,0
11,밸런스형,None,180,120,20,122122211,1,6,0
12,밸런스형,None,180,120,20,211221112,1,7,0
