ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,밸런스형,저주,120,150,10,212212212,0,1,5
2,밸런스형,연막탄,200,120,10,121222121,0,2,7
3,밸런스형,축복,200,150,10,212121212,0,3,2
4,밸런스형,None,160,180,10,221221111,0,4,4
5,밸런스형,None,200,150,10,111122122,0,5,5
6,공격형,None,140,160,20,112121212,1,1,0
7,공격형,None,80,240,20,121121121,1,2,0
8,공격형,None,120,190,20,222111111,1,3,0
9,방어형,None,250,60,20,222212112,1,4,0
10,밸런스형,None,150,160,20,111111111,1,5,0
11,밸런스형,None,200,150,20,211211222,1,6,0
12,밸런스형,None,160,180,20,212222111,1,7,0
