ID,Type,Skill,HP,Attack_Damage,Counter_Probability,Attack_Range,isEnemy,Number,Grid_Position
1,공격형,None,60,200,10,121111121,0,1,2
2,공격형,None,75,160,10,121112121,0,2,4
3,공격형,None,100,120,10,212212121,0,3,6
4,밸런스형,None,140,60,10,212222111,0,4,7
5,밸런스형,None,120,100,10,111112222,0,5,9
6,공격형,None,150,120,20,211211211,1,1,0
7,공격형,None,150,100,20,111222211,1,2,0
8,공격형,None,200,150,20,111111212,1,3,0
9,방어형,None,250,75,20,221111222,1,4,0
10,방어형,None,250,50,20,121212111,1,5,0
11,방어형,None,200,80,20,212111212,1,6,0
12,밸런스형,None,225,50,20,111212211,1,7,0
